IP:PORT, LOSS, DELAY
162.159.195.116:4500,0.00%,186 ms
162.159.195.16:943,0.00%,187 ms
162.159.195.111:3476,0.00%,187 ms
162.159.195.84:946,0.00%,187 ms
162.159.195.213:1070,0.00%,187 ms
162.159.195.189:1070,0.00%,187 ms
162.159.195.157:4500,0.00%,187 ms
162.159.195.235:1070,0.00%,187 ms
162.159.195.216:1070,0.00%,188 ms
162.159.195.70:946,0.00%,188 ms
162.159.195.181:1070,0.00%,188 ms
162.159.195.184:1070,0.00%,188 ms
162.159.195.1:946,0.00%,188 ms
162.159.195.109:3476,0.00%,188 ms
162.159.195.54:7152,0.00%,188 ms
162.159.195.61:7152,0.00%,188 ms
162.159.195.245:4233,0.00%,188 ms
162.159.195.224:988,0.00%,188 ms
162.159.195.207:1070,0.00%,188 ms
162.159.195.48:946,0.00%,189 ms
162.159.195.21:946,0.00%,189 ms
162.159.195.107:4500,0.00%,189 ms
162.159.195.201:1070,0.00%,189 ms
162.159.195.31:7152,0.00%,189 ms
162.159.195.225:988,0.00%,190 ms
162.159.195.46:946,0.00%,190 ms
162.159.195.75:946,0.00%,190 ms
162.159.195.178:1070,0.00%,190 ms
162.159.195.98:3476,0.00%,190 ms
162.159.195.130:4500,0.00%,190 ms
162.159.195.159:3476,0.00%,191 ms
162.159.195.153:3476,0.00%,191 ms
162.159.195.174:3476,0.00%,192 ms
162.159.195.109:4500,0.00%,192 ms
162.159.195.91:946,0.00%,192 ms
162.159.195.75:7152,0.00%,193 ms
162.159.192.143:1701,0.00%,193 ms
162.159.195.41:7152,0.00%,193 ms
162.159.192.151:1843,0.00%,194 ms
162.159.192.170:1843,0.00%,194 ms
188.114.99.150:988,0.00%,194 ms
162.159.195.185:1070,0.00%,195 ms
188.114.99.51:1843,0.00%,195 ms
188.114.99.30:4177,0.00%,195 ms
188.114.97.179:1002,0.00%,196 ms
162.159.195.110:3476,0.00%,197 ms
188.114.96.248:8886,0.00%,197 ms
188.114.96.158:3854,0.00%,197 ms
188.114.99.155:939,0.00%,197 ms
188.114.98.30:4500,0.00%,197 ms
188.114.99.199:890,0.00%,197 ms
188.114.99.3:4198,0.00%,197 ms
188.114.99.114:939,0.00%,198 ms
188.114.99.189:890,0.00%,198 ms
188.114.96.143:3854,0.00%,198 ms
188.114.96.199:3854,0.00%,198 ms
162.159.192.85:1701,0.00%,198 ms
188.114.97.172:7152,0.00%,199 ms
162.159.192.32:1701,0.00%,199 ms
162.159.192.35:1701,0.00%,199 ms
188.114.98.4:955,0.00%,199 ms
162.159.195.41:946,0.00%,199 ms
188.114.97.61:1018,0.00%,200 ms
162.159.192.172:1701,0.00%,200 ms
188.114.99.245:890,0.00%,200 ms
188.114.98.27:955,0.00%,200 ms
162.159.192.32:1843,0.00%,200 ms
162.159.195.5:943,0.00%,200 ms
162.159.195.140:3476,0.00%,206 ms
